FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores,SchemeType,NewRatingPending,Geocode,AddressLine2,AddressLine3,PostCode,AddressLine1,AddressLine4
1821817,AC092024-17970,(FOOD FACTORY) burgers and fries,Mobile caterer,7846,5,fhrs_5_en-GB,2024-10-02,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1849335,AC052025-22351,0161 Flamin Grill,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2025-09-25,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,88 Portland Street,Manchester,M1 4GX,,
1923226,AC022026-26253,0161 Sweet 1,Other catering premises,7841,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1817456,AC-072024-006212,1 Pharmacy,Retailers - other,4613,Exempt,fhrs_exempt_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,167 Princess Road,Manchester,M14 4RL,,
1817918,AC-072024-006770,10 Tib Lane,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2024-09-18,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,10 Tib Lane,Manchester,M2 4JB,,
1819461,AC-072024-014037,14Forty,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2022-05-27,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Denmark Road,Manchester,M15 6LD,Heineken Manchester Brewery,
1819790,AC-072024-014422,19 Cafe Bar,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2024-01-04,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,19 Lever Street,Manchester,M1 1BY,Chatsworth House,
1819746,AC-072024-014370,20 Stories,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2024-08-15,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,1 Hardman Square,Manchester,M3 2BA,,
1817500,AC-072024-006270,200 Degrees Coffee Shop,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2022-07-12,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,75 Mosley Street,Manchester,M2 3HR,,
1923166,AC022026-26048,200 Degrees Coffee Shops,Restaurant/Cafe/Canteen,1,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,712-716 Wilmslow Road,Manchester,M20 6DQ,,
1818436,AC-072024-007637,2205,Other catering premises,7841,5,fhrs_5_en-GB,2024-11-03,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1831099,AC042025-21540,234 Food Store,Retailers - other,4613,3,fhrs_3_en-GB,2025-01-10,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,28b Bury New Road,Manchester,M8 8EL,,
1831188,AC042025-21860,2kg of Chocolate,Other catering premises,7841,5,fhrs_5_en-GB,2025-10-02,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1818111,AC-072024-006993,2Nakhon,Restaurant/Cafe/Canteen,1,4,fhrs_4_en-GB,2022-06-18,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,745 Wilmslow Road,Manchester,M20 6RN,,
1818261,AC-072024-007200,2Saucy Ltd,Retailers - other,4613,5,fhrs_5_en-GB,2024-11-01,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1821228,AC-072024-016188,3 Guys Pizza,Takeaway/sandwich shop,7844,4,fhrs_4_en-GB,2025-11-26,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,307 Greenbrow Road,Manchester,M23 2UH,,
1798233,AC-072024-007452,30 Grams Ltd,Takeaway/sandwich shop,7844,5,fhrs_5_en-GB,2025-01-24,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,1 Dark Lane,Manchester,M12 6FA,Kitchen 28 Encore Kitchens Unit 1,
1821362,AC-072024-016361,333 Take Away,Takeaway/sandwich shop,7844,3,fhrs_3_en-GB,2025-09-29,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,1276 Ashton Old Road,Manchester,M11 1JJ,,
1818028,AC-072024-006896,4 Seasons Catering,Mobile caterer,7846,5,fhrs_5_en-GB,2024-04-26,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1894310,AC-072024-013452,42nd Street,Pub/bar/nightclub,7843,5,fhrs_5_en-GB,2025-09-18,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,2 Bootle Street,Manchester,M2 5GU,,
1849338,AC062025-22565,47 kitchen & Catering Ltd,Mobile caterer,7846,5,fhrs_5_en-GB,2025-07-07,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1894413,AC092025-23944,5 Akhis,Restaurant/Cafe/Canteen,1,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,53 Wilmslow Road,Manchester,M14 5TB,,
1943884,AC042026-27113,5 Greens/Bolt Trading,Retailers - other,4613,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,70 ALEXANDRA ROAD,MANCHESTER,M16 7WD,UNIT 15 THE WINDRUSH MILLENIUM CENTRE,
1817776,AC-072024-006604,532 Bar & Kitchen,Pub/bar/nightclub,7843,5,fhrs_5_en-GB,2025-06-23,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Oxford Road,Manchester,M13 9PR,University of Manchester Students Union Steve Biko Building,
1817569,AC-072024-006346,53two,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2021-11-09,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Watson Street,Manchester,M3 4LP,Arches 18 & 19,
1821203,AC-072024-016159,6 Military Intelligence Battalion,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2024-06-06,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Norman Road,Manchester,M14 5LF,3g & 3f Langden House,
1817816,AC-072024-006650,63 Degrees,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2024-10-04,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,104 High Street,Manchester,M4 1HQ,,
1820474,AC-072024-015301,777 Market,Retailers - other,4613,4,fhrs_4_en-GB,2024-03-04,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,25-27 Harkness Street,Manchester,M12 6BT,Unit B,
1870662,AC052025-22234,786 Bishmillah biryani,Takeaway/sandwich shop,7844,1,fhrs_1_en-GB,2025-06-04,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,711 Stockport Road,Manchester,M19 3AG,Ground Floor,
1943886,AC042026-27152,7ZZ,Takeaway/sandwich shop,7844,AwaitingInspection,fhrs_awaitinginspection_en-GB,,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,116-118 Oldham Road,Manchester,M4 6AG,,
1821448,AC-072024-016456,876 Kitchen,Mobile caterer,7846,4,fhrs_4_en-GB,2024-07-19,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,,,,,
1820934,AC-072024-015850,92 Degrees,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2023-05-11,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,16 John Dalton Street,Manchester,M2 6HY,Trinity Court,
1820933,AC-072024-015849,92 Degrees,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,2023-05-11,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,1 Spinningfields,Manchester,M3 3EB,Unit G3 Hardman Square,
1839331,AC052025-22240,961 Flavours LTD,Takeaway/sandwich shop,7844,5,fhrs_5_en-GB,2025-11-28,415,Manchester,http://www.manchester.gov.uk,envhealth@manchester.gov.uk,,FHRS,False,,Dark Lane,Manchester,M12 6FA,Unit 1,
