fhrs_id,business_name,business_type,rating_value,rating_date,new_rating_pending,address_line_3,post_code,rating_value_num,rating_value_text,rating_year,rating_month,postcode_area,rating_category
1821817,(FOOD FACTORY) burgers and fries,Mobile caterer,5,2024-10-02,False,,,5,,2024,10,,Excellent
1849335,0161 Flamin Grill,Restaurant/Cafe/Canteen,5,2025-09-25,False,Manchester,M1 4GX,5,,2025,9,M1,Excellent
1923226,0161 Sweet 1,Other catering premises,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
1817456,1 Pharmacy,Retailers - other,Exempt,,False,Manchester,M14 4RL,,Exempt,,,M14,Unknown
1817918,10 Tib Lane,Restaurant/Cafe/Canteen,5,2024-09-18,False,Manchester,M2 4JB,5,,2024,9,M2,Excellent
1819461,14Forty,Restaurant/Cafe/Canteen,5,2022-05-27,False,Manchester,M15 6LD,5,,2022,5,M15,Excellent
1819790,19 Cafe Bar,Restaurant/Cafe/Canteen,5,2024-01-04,False,Manchester,M1 1BY,5,,2024,1,M1,Excellent
1819746,20 Stories,Restaurant/Cafe/Canteen,5,2024-08-15,False,Manchester,M3 2BA,5,,2024,8,M3,Excellent
1817500,200 Degrees Coffee Shop,Restaurant/Cafe/Canteen,5,2022-07-12,False,Manchester,M2 3HR,5,,2022,7,M2,Excellent
1923166,200 Degrees Coffee Shops,Restaurant/Cafe/Canteen,AwaitingInspection,,False,Manchester,M20 6DQ,,AwaitingInspection,,,M20,Unknown
1818436,2205,Other catering premises,5,2024-11-03,False,,,5,,2024,11,,Excellent
1831099,234 Food Store,Retailers - other,3,2025-01-10,False,Manchester,M8 8EL,3,,2025,1,M8,Satisfactory
1831188,2kg of Chocolate,Other catering premises,5,2025-10-02,False,,,5,,2025,10,,Excellent
1818111,2Nakhon,Restaurant/Cafe/Canteen,4,2022-06-18,False,Manchester,M20 6RN,4,,2022,6,M20,Good
1818261,2Saucy Ltd,Retailers - other,5,2024-11-01,False,,,5,,2024,11,,Excellent
1821228,3 Guys Pizza,Takeaway/sandwich shop,4,2025-11-26,False,Manchester,M23 2UH,4,,2025,11,M23,Good
1798233,30 Grams Ltd,Takeaway/sandwich shop,5,2025-01-24,False,Manchester,M12 6FA,5,,2025,1,M12,Excellent
1821362,333 Take Away,Takeaway/sandwich shop,3,2025-09-29,False,Manchester,M11 1JJ,3,,2025,9,M11,Satisfactory
1818028,4 Seasons Catering,Mobile caterer,5,2024-04-26,False,,,5,,2024,4,,Excellent
1894310,42nd Street,Pub/bar/nightclub,5,2025-09-18,False,Manchester,M2 5GU,5,,2025,9,M2,Excellent
1849338,47 kitchen & Catering Ltd,Mobile caterer,5,2025-07-07,False,,,5,,2025,7,,Excellent
1894413,5 Akhis,Restaurant/Cafe/Canteen,AwaitingInspection,,False,Manchester,M14 5TB,,AwaitingInspection,,,M14,Unknown
1943884,5 Greens/Bolt Trading,Retailers - other,AwaitingInspection,,False,Manchester,M16 7WD,,AwaitingInspection,,,M16,Unknown
1817776,532 Bar & Kitchen,Pub/bar/nightclub,5,2025-06-23,False,Manchester,M13 9PR,5,,2025,6,M13,Excellent
1817569,53two,Restaurant/Cafe/Canteen,5,2021-11-09,False,Manchester,M3 4LP,5,,2021,11,M3,Excellent
1821203,6 Military Intelligence Battalion,Restaurant/Cafe/Canteen,5,2024-06-06,False,Manchester,M14 5LF,5,,2024,6,M14,Excellent
1817816,63 Degrees,Restaurant/Cafe/Canteen,5,2024-10-04,False,Manchester,M4 1HQ,5,,2024,10,M4,Excellent
1820474,777 Market,Retailers - other,4,2024-03-04,False,Manchester,M12 6BT,4,,2024,3,M12,Good
1870662,786 Bishmillah biryani,Takeaway/sandwich shop,1,2025-06-04,False,Manchester,M19 3AG,1,,2025,6,M19,Needs Major Improvement
1943886,7ZZ,Takeaway/sandwich shop,AwaitingInspection,,False,Manchester,M4 6AG,,AwaitingInspection,,,M4,Unknown
1821448,876 Kitchen,Mobile caterer,4,2024-07-19,False,,,4,,2024,7,,Good
1820934,92 Degrees,Restaurant/Cafe/Canteen,5,2023-05-11,False,Manchester,M2 6HY,5,,2023,5,M2,Excellent
1820933,92 Degrees,Restaurant/Cafe/Canteen,5,2023-05-11,False,Manchester,M3 3EB,5,,2023,5,M3,Excellent
1839331,961 Flavours LTD,Takeaway/sandwich shop,5,2025-11-28,False,Manchester,M12 6FA,5,,2025,11,M12,Excellent
1818417,99 Reasons,Restaurant/Cafe/Canteen,4,2024-10-18,False,Chorlton,M21 9GA,4,,2024,10,M21,Good
1906916,9inety6ix,Pub/bar/nightclub,5,2026-02-05,False,Manchester,M15 4RA,5,,2026,2,M15,Excellent
1822021,9ja Jollof,Other catering premises,5,2026-02-26,False,,,5,,2026,2,,Excellent
1831277,A & A News,Retailers - other,5,2025-08-01,False,Manchester,M14 7LT,5,,2025,8,M14,Excellent
1819385,A & A Pharmacy,Retailers - other,Exempt,,False,Manchester,M14 5AL,,Exempt,,,M14,Unknown
1831265,A & C Booth,Retailers - other,5,2025-09-24,False,Manchester,M9 6RG,5,,2025,9,M9,Excellent
1816086,A & H Off Licence Ltd,Retailers - other,4,2025-04-10,False,Manchester,M9 4DZ,4,,2025,4,M9,Good
1821205,A & J Off Licence,Retailers - other,4,2025-03-07,False,Manchester,M14 7LE,4,,2025,3,M14,Good
1820136,A & S Off Licence also T/as Go Local,Retailers - other,5,2018-04-06,False,Manchester,M15 5TL,5,,2018,4,M15,Excellent
1821856,A & T FISHMONGER,Retailers - other,1,2025-03-05,False,Manchester,M13 0TA,1,,2025,3,M13,Needs Major Improvement
1943794,A 2 Z Mini Market,Retailers - other,AwaitingInspection,,False,Manchester,M9 8WQ,,AwaitingInspection,,,M9,Unknown
1894367,A Good Life,Retailers - other,5,2026-03-20,False,,,5,,2026,3,,Excellent
1817162,A Little Sweet,Takeaway/sandwich shop,5,2024-03-15,False,Manchester,M12 6DA,5,,2024,3,M12,Excellent
1816507,A Nice Sip,Retailers - other,4,2025-06-08,False,Manchester,M4 3AH,4,,2025,6,M4,Good
1831218,A Piece of Cake,Retailers - other,AwaitingInspection,,False,Manchester,M4 4HU,,AwaitingInspection,,,M4,Unknown
1820078,A Plus Oriental Restaurant,Restaurant/Cafe/Canteen,1,2025-12-08,False,Manchester,M1 4HF,1,,2025,12,M1,Needs Major Improvement
1831033,A Sporting Chance,Restaurant/Cafe/Canteen,AwaitingInspection,,False,Manchester,M90 3DF,,AwaitingInspection,,,M90,Unknown
1821466,A$AP Coffee,Restaurant/Cafe/Canteen,4,2023-08-30,False,Manchester,M1 7ED,4,,2023,8,M1,Good
1816674,A&BONLINENUTRITION LTD,Retailers - other,5,2023-09-20,False,Manchester,M8 8LG,5,,2023,9,M8,Excellent
1818903,A1 Balti House,Takeaway/sandwich shop,4,2024-09-20,True,Manchester,M23 0BX,4,,2024,9,M23,Good
1820343,A1 Pound Store,Retailers - other,5,2014-05-29,False,Manchester,M13 0RX,5,,2014,5,M13,Excellent
1943765,A1 vegan Chinese,Other catering premises,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
1923319,A6 Mobile & Convenience Store,Retailers - other,AwaitingInspection,,False,Manchester,M40 9WB,,AwaitingInspection,,,M40,Unknown
1816513,A6 Off Licence,Retailers - other,4,2023-09-12,False,Manchester,M19 3DL,4,,2023,9,M19,Good
1894394,Aahaa indian kitchen & Bar,Restaurant/Cafe/Canteen,5,2025-11-24,False,Manchester,M21 9PG,5,,2025,11,M21,Excellent
1816993,Aatma,Restaurant/Cafe/Canteen,3,2025-08-01,False,Manchester,M1 1BE,3,,2025,8,M1,Satisfactory
1820967,AB Afro Caribbean Food Store,Retailers - other,1,2025-03-03,False,Manchester,M14 4RL,1,,2025,3,M14,Needs Major Improvement
1816483,Abakus - U Marlenki Ltd,Retailers - other,5,2022-07-12,False,Manchester,M22 4HH,5,,2022,7,M22,Excellent
1867643,ABAN Express,Other catering premises,5,2025-09-11,False,,,5,,2025,9,,Excellent
1820175,Abaseen,Takeaway/sandwich shop,2,2025-04-18,False,Manchester,M8 9JW,2,,2025,4,M8,Needs Major Improvement
1816633,Abaseen,Restaurant/Cafe/Canteen,3,2025-01-21,False,Manchester,M19 2SY,3,,2025,1,M19,Satisfactory
1817485,Abbey College Manchester,School/college/university,5,2025-09-04,False,Manchester,M4 1DG,5,,2025,9,M4,Excellent
1819392,Abbey Hey AFC,Other catering premises,4,2023-09-29,False,Manchester,M18 7HD,4,,2023,9,M18,Good
1818012,Abbey Hey Before & After School Club,Hospitals/Childcare/Caring Premises,4,2024-09-24,False,Manchester,M18 8RR,4,,2024,9,M18,Good
1820419,Abbey Hey Mini Market,Retailers - other,3,2024-09-16,False,Manchester,M18 8RP,3,,2024,9,M18,Satisfactory
1816630,Abbey Hey Primary Academy also T/as Taylorshaw @ Abbey Hey Academy,School/college/university,5,2025-09-25,False,Manchester,M18 8PF,5,,2025,9,M18,Excellent
1820997,Abbey Hey Superstore,Retailers - other,4,2025-03-19,False,Manchester,M18 8QU,4,,2025,3,M18,Good
1819095,Abbey Hotel,Hotel/bed & breakfast/guest house,5,2019-09-16,False,Manchester,M8 0NG,5,,2019,9,M8,Excellent
1817117,Abbey's Cafe,Restaurant/Cafe/Canteen,4,2023-09-29,False,Manchester,M18 7HD,4,,2023,9,M18,Good
1819350,Abbotsford Care Home,Hospitals/Childcare/Caring Premises,5,2026-03-16,False,Manchester,M16 8BB,5,,2026,3,M16,Excellent
1819354,Abbott Community Primary School,School/college/university,2,2025-03-03,False,Manchester,M40 7PR,2,,2025,3,M40,Needs Major Improvement
1819447,Abdul's food to go,Takeaway/sandwich shop,3,2025-11-03,False,Manchester,M14 6XQ,3,,2025,11,M14,Satisfactory
1831275,Abduls Supermarket & Off Licence,Retailers - other,2,2025-08-28,False,Manchester,M15 6NQ,2,,2025,8,M15,Needs Major Improvement
1817247,Abeja Tapas Bar also T/as Abeja Tapas Mobile,Other catering premises,5,2024-12-03,False,,,5,,2024,12,,Excellent
1818214,ABELON,Retailers - other,5,2024-11-03,False,,,5,,2024,11,,Excellent
1818350,Abepina Food Corner,Other catering premises,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
